año,frecuencia
1884,3
1885,4
1886,7
1887,6
1888,9
1889,9
1890,6
1892,6
1903,8
1905,6
1906,8
1907,8
1908,9
1909,11
1910,9
1911,8
1912,10
1913,8
1914,9
1915,7
1916,12
1917,11
1918,8
1919,13
1920,12
1921,12
1922,10
1923,13
1924,17
1925,13
1926,15
1927,11
1928,9
1929,12
1930,12
1931,12
1932,14
1933,12
1934,14
1935,12
1936,14
1937,14
1938,12
1939,12
1940,17
1941,14
1942,13
1943,11
1944,15
1945,17
1946,18
1947,17
1948,14
1949,14
1950,10
1951,17
1952,14
1953,19
1954,13
1955,19
1956,16
1957,17
1958,15
1959,16
1960,20
1961,15
1962,13
1963,11
1964,17
1965,16
1966,12
1967,20
1968,19
1969,44
1970,43
1971,47
1972,50
1973,43
1974,38
1975,48
1976,42
1977,46
1978,48
1979,49
1980,44
1981,108
1982,45
1983,43
1984,46
1985,48
1986,48
1987,53
1988,50
1989,50
1990,50
1991,57
1992,58
1993,57
1995,129
1996,130
1997,124
1998,120
1999,134
2000,132
2001,135
2002,140
2003,135
2004,139
2005,128
2006,136
2007,138
2008,135
2009,140
2010,138
2011,153
2012,175
2013,166
2014,167
